user_id,date,group,purchase,price
851104,2021-01-21,A,0,0
804228,2021-01-12,A,0,0
661590,2021-01-11,B,0,0
853541,2021-01-08,B,0,0
864975,2021-01-21,A,1,150000
936923,2021-01-10,A,0,0
679687,2021-01-19,B,1,10000
719014,2021-01-17,A,0,0
817355,2021-01-04,B,1,60000
839785,2021-01-15,B,1,10000
929503,2021-01-18,B,0,0
834487,2021-01-21,B,0,0
803683,2021-01-09,B,0,0
944475,2021-01-22,B,0,0
718956,2021-01-22,B,0,0
644214,2021-01-22,A,1,100000
847721,2021-01-17,A,0,0
888545,2021-01-08,B,1,60000
650559,2021-01-24,A,0,0
935734,2021-01-17,A,0,0
740805,2021-01-12,B,0,0
759875,2021-01-09,B,0,0
767017,2021-01-12,A,0,0
793849,2021-01-23,B,0,0
905617,2021-01-20,B,0,0
746742,2021-01-23,A,0,0
892356,2021-01-05,B,1,100000
773302,2021-01-12,B,0,0
913579,2021-01-24,A,1,10000
736159,2021-01-06,B,0,0
690284,2021-01-13,A,0,0
826115,2021-01-05,B,0,0
875124,2021-01-05,B,1,100000
931013,2021-01-07,B,0,0
710349,2021-01-11,A,0,0
677533,2021-01-23,A,0,0
831737,2021-01-11,A,1,10000
648583,2021-01-19,B,0,0
728086,2021-01-03,B,0,0
870163,2021-01-02,B,0,0
771087,2021-01-16,A,0,0
739414,2021-01-03,B,0,0
896163,2021-01-22,A,0,0
862225,2021-01-08,A,1,10000
939593,2021-01-05,A,0,0
702260,2021-01-18,A,0,0
943635,2021-01-22,B,0,0
800436,2021-01-20,B,0,0
698590,2021-01-23,B,0,0
830513,2021-01-12,B,0,0
670941,2021-01-05,A,0,0
850231,2021-01-18,A,1,10000
916511,2021-01-22,B,0,0
897174,2021-01-17,B,0,0
906999,2021-01-22,B,0,0
685794,2021-01-20,A,0,0
757313,2021-01-09,B,0,0
714733,2021-01-03,A,0,0
710967,2021-01-10,A,0,0
680201,2021-01-11,A,0,0
790863,2021-01-19,A,0,0
717595,2021-01-23,A,0,0
779854,2021-01-11,A,0,0
916307,2021-01-19,A,0,0
731611,2021-01-24,A,0,0
742910,2021-01-07,B,0,0
897656,2021-01-08,A,0,0
834137,2021-01-24,A,1,10000
791703,2021-01-05,A,0,0
850190,2021-01-10,A,0,0
812235,2021-01-11,A,0,0
729613,2021-01-12,A,0,0
817936,2021-01-03,B,0,0
776669,2021-01-15,B,0,0
640693,2021-01-19,B,0,0
781060,2021-01-13,B,0,0
827414,2021-01-10,A,0,0
689369,2021-01-07,A,0,0
741853,2021-01-22,A,0,0
819394,2021-01-07,B,0,0
696202,2021-01-14,A,1,150000
637366,2021-01-22,B,0,0
836770,2021-01-17,B,0,0
696678,2021-01-18,A,0,0
778778,2021-01-03,A,0,0
945236,2021-01-14,B,0,0
764145,2021-01-04,B,0,0
782624,2021-01-20,B,0,0
792499,2021-01-07,B,1,100000
832316,2021-01-18,A,1,10000
911824,2021-01-19,A,0,0
668255,2021-01-17,A,0,0
800421,2021-01-07,B,0,0
738570,2021-01-16,A,0,0
909364,2021-01-24,A,0,0
636946,2021-01-17,A,0,0
894540,2021-01-04,B,0,0
939580,2021-01-09,A,0,0
698331,2021-01-22,A,0,0
631524,2021-01-10,B,0,0
820916,2021-01-07,A,0,0
887581,2021-01-21,A,0,0
742392,2021-01-16,A,0,0
659648,2021-01-17,A,0,0
734232,2021-01-06,B,0,0
802440,2021-01-23,B,0,0
800982,2021-01-13,B,1,10000
757160,2021-01-23,A,0,0
650929,2021-01-09,B,0,0
757812,2021-01-20,A,0,0
773860,2021-01-10,B,0,0
744902,2021-01-18,B,0,0
684929,2021-01-12,B,0,0
868502,2021-01-20,B,1,10000
647522,2021-01-05,A,0,0
665159,2021-01-17,A,0,0
721847,2021-01-10,A,0,0
704513,2021-01-20,B,1,150000
675405,2021-01-02,A,0,0
926415,2021-01-11,B,0,0
919227,2021-01-06,A,0,0
730785,2021-01-09,A,0,0
879953,2021-01-17,A,0,0
706463,2021-01-18,B,0,0
770912,2021-01-09,B,0,0
888539,2021-01-11,A,0,0
903977,2021-01-06,B,1,10000
920254,2021-01-23,B,0,0
761924,2021-01-11,A,0,0
684529,2021-01-13,B,0,0
778727,2021-01-07,B,0,0
721615,2021-01-19,A,0,0
796510,2021-01-15,A,0,0
871947,2021-01-15,A,0,0
809512,2021-01-15,A,0,0
732099,2021-01-23,B,1,60000
769648,2021-01-09,B,0,0
658404,2021-01-20,B,0,0
652015,2021-01-03,B,1,100000
896902,2021-01-06,B,0,0
798294,2021-01-18,B,0,0
738778,2021-01-23,A,0,0
938283,2021-01-11,A,1,10000
932725,2021-01-13,B,0,0
686611,2021-01-05,A,0,0
857251,2021-01-14,A,1,60000
771871,2021-01-09,A,0,0
887171,2021-01-11,B,0,0
919633,2021-01-18,B,0,0
803036,2021-01-18,B,1,100000
820420,2021-01-10,A,0,0
941969,2021-01-23,B,0,0
884825,2021-01-09,B,0,0
726740,2021-01-07,A,0,0
850887,2021-01-19,A,0,0
916494,2021-01-22,A,0,0
804852,2021-01-16,A,0,0
718429,2021-01-08,A,0,0
888569,2021-01-19,B,0,0
640327,2021-01-08,B,0,0
676448,2021-01-12,B,0,0
